patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
4639447b-2067-4dac-88bd-13d1b540b30e,Vi Dương,672901904045,03/04/1975,0556818852,gmai@example.net,"75 Phương Vũ, 520172",Huyết áp cao,7.36,Bà Kim Nguyễn,30/01/2026
f2f9e5fa-9016-4161-8fa7-01cd2631d00b,Thành Đặng,163684928844,13/08/1951,0913305196,janenguyen@example.net,"74 Phương Bùi, 792509",Huyết áp cao,7.53,Quý ông Minh Lê,03/02/2026
00af5b3a-2812-459a-9337-739e8d4f5d27,Ánh Hoàng,057994044503,08/12/1939,0829425553,john77@example.net,"3 Tú Thế Hoàng, 335729",Huyết áp cao,4.37,Bà An Dương,12/01/2026
9854ce4e-4ebf-45c3-8ae9-b4a72a79ea68,Hương Vũ,010653313209,14/04/1999,0358860676,nmai@example.org,"0 Quý cô Lâm Lê JohnPhường, 976566",Huyết áp cao,9.74,Bà Hải Vũ,22/04/2026
2cd94cbb-c19a-458c-835b-1c8c0a4c9f7f,Cô Linh Phạm,468995302163,25/10/1994,0568302394,jane96@example.org,"1 Tú Hoàng, 519904",Tim mạch,5.05,Hương Trần,03/03/2026
f85e06a1-1dad-49b2-92c2-1221409d3602,Khoa Dương,427642581278,14/05/1998,0735822913,john56@example.net,"7 Quý cô Linh Nguyễn, 608257",Tiểu đường,6.0,Khoa Trần,05/06/2026
4f8d5238-288b-48b5-b5b4-53ca3d42993c,Chi Hoàng,415399701834,06/03/1948,0760067906,john64@example.org,"48 Quang Mai Bảo Phạm, 678043",Tiểu đường,9.81,Thành Bùi,09/04/2026
dd30de89-22f2-45f2-a11b-868dbf0d073d,An Trần,204263984106,01/10/1981,0773646348,vmai@example.org,"787 Bảo Phú Dương, 831380",Tiểu đường,8.2,Hà Hoàng Hoàng,09/01/2026
b489d070-7914-48a8-bea4-ff31517400f8,Cô Lan Trần,280986680058,13/07/1940,0830632468,janetran@example.net,"262 Phương Trần, 184216",Huyết áp cao,4.77,Bác Thành Trần,02/05/2026
7cea2045-c268-483e-a32f-2e63b7fddd71,Quý cô Hồng Dương,806307488822,12/06/1967,0706856634,john95@example.com,"24 Kim Mai, 551607",Tiểu đường,8.68,Khoa Lê,20/04/2026
2b840c67-2e18-4554-8ae2-8e66ae8a7813,Hải Thị Vũ,266462219967,08/04/1968,0710108427,johnmai@example.org,"40 Thành Hải Đặng JaneXã, 413685",Khỏe mạnh,4.11,Nhật Phạm,14/06/2026
627b41a1-ffd6-4232-b2ff-e2944d57d880,Phương Hoàng,807178682570,06/05/1984,0871052803,dangjane@example.org,"7 Bảo Phạm, 892280",Tim mạch,9.45,Bà Hà Đặng,01/03/2026
945ef2e4-088a-43ec-b0d9-c9f8c9e26074,Minh Phạm,971755494802,17/12/1979,0729491232,janeduong@example.org,"8 Lâm Thế Đặng, 455168",Huyết áp cao,7.5,Hưng Bùi,28/01/2026
dc322c97-39c1-4262-b76c-8edec1101266,Bác Hưng Mai,296439903463,12/03/1989,0883388817,janeduong@example.org,"6 Vũ Dương, 688678",Khỏe mạnh,4.25,Cô Hạnh Mai,04/05/2026
b379cb1e-e8cd-40cc-b6da-3ca0d2e82f38,An Bùi,562003214090,08/07/1954,0338119768,hle@example.org,"2 Bà Phương Mai, 786735",Tim mạch,7.22,Nhật Phú Lê,21/03/2026
08601833-479d-4cda-b396-ea37f065c817,Khoa Vũ,967000024718,18/08/1967,0771112882,maijane@example.com,"31 Thành Bảo Lê JaneQuận, 232040",Khỏe mạnh,10.6,Châu Đặng,10/02/2026
dea45c19-d024-4d72-b748-967f961d33ba,Phương Bùi,467498340647,17/11/1935,0896769579,janebui@example.org,"0 Hạnh Nguyễn, 378258",Khỏe mạnh,10.85,Anh Mai Bảo Đặng,13/04/2026
79eb4168-1045-46e5-bee3-eb791d181ee9,Bảo Dương,968391020495,03/05/1950,0816369616,gduong@example.net,"00 Bác Vũ Hoàng, 184714",Huyết áp cao,7.71,Mai Bùi,25/01/2026
95da75c1-a211-40f9-9fd3-4579466772ce,Châu Mai Bảo Đặng,366228294503,19/04/2004,0979706149,johnduong@example.org,"73 Bà Lâm Nguyễn, 199704",Tim mạch,10.74,Quang Phạm,14/03/2026
ec48bf55-afd3-40c4-a713-582cf41ea3ac,Chị Phương Lê,665510274093,07/03/1948,0379353351,maijane@example.com,"0 Khoa Quang Bùi, 153945",Tiểu đường,5.99,Anh Tùng Hoàng,10/03/2026
36760ce5-81e5-49f6-93f2-77cc1a85910d,Hà Hải Lê,550395581312,22/02/1983,0522922402,maijane@example.net,"4 Anh Nam Nguyễn, 106402",Khỏe mạnh,5.67,Bảo Bảo Lê,14/01/2026
f8c88fae-a217-4f84-bdb0-25ff2451e5a4,Huy Hoàng,217352586188,09/10/1964,0753313539,dangjohn@example.net,"5 Cô Thảo Dương JohnHuyện, 564637",Tim mạch,8.39,Nam Nguyễn,23/02/2026
1d2324e6-8329-40b7-8143-f426372f871a,Thành Hoàng Mai,222862310159,21/09/2001,0788782218,udang@example.com,"32 Huy Tấn Hoàng JanePhường, 551574",Khỏe mạnh,3.78,Hạnh Xuân Hoàng,17/05/2026
d556b37d-8f08-41ee-8011-316b3ae88926,Vi Mai,699213822950,11/11/1994,0842929610,janevu@example.org,"6 Dũng Xuân Đặng, 582446",Tiểu đường,4.7,Mai Lê,17/02/2026
862268d1-6683-4107-96c0-44d06f887f28,Mai Mai,591488511223,13/09/1981,0985568069,johnnguyen@example.com,"8 Hạnh Nguyễn, 368402",Tim mạch,11.28,Vi Nguyễn,28/05/2026
2d5972c6-134a-4a2f-a7cf-705cc257cf73,Chị Kim Trần,253810475632,03/08/1996,0885466635,maijohn@example.org,"90 Phương Đức Đặng, 139434",Huyết áp cao,11.03,Phương Mai,15/01/2026
daf481a7-fa34-42e8-9d3f-7d7ea508dc95,Dương Vũ,492763903800,03/07/2004,0598690541,ppham@example.org,"93 Vũ Dương, 950360",Khỏe mạnh,4.28,Chi Lê,18/02/2026
707df251-fdb1-429e-b010-ed13b526b22d,Hương Dương,520291970548,21/03/1988,0862905245,vujane@example.com,"518 Cô Hà Mai, 795847",Huyết áp cao,8.09,Quang Vũ,26/01/2026
15b02530-f020-4992-b576-255e98549f22,Trung Đức Lê,581254840663,13/03/1980,0315814473,maijane@example.net,"23 Bà Vân Lê phố, 410160",Tiểu đường,7.34,Anh Trần,12/06/2026
09a9d1c1-86ca-46f4-a238-fe93bd17c5e8,Phúc Hải Phạm,081991003734,06/10/1986,0399510240,lnguyen@example.com,"7 Thành Vũ JanePhường, 921874",Tim mạch,8.81,Bảo Lê,02/03/2026
78116802-c8cc-4cfe-8f01-f944f7315749,Anh Hải Bùi,665857727097,17/06/1995,0367763614,janeduong@example.org,"392 Anh Nam Hoàng, 986982",Khỏe mạnh,7.04,Trung Hoàng Phạm,29/05/2026
e7c225da-7306-4588-85d5-a68d290a3abb,Bác Nhiên Đặng,588130470654,21/11/1996,0371207568,janebui@example.net,"15 Kim Vũ, 140163",Tim mạch,9.2,Bà Phương Mai,28/05/2026
9d8776a0-72d7-4bdd-b817-99ffb49e04cc,Bà An Dương,491159785628,29/01/1938,0757335844,duongjane@example.org,"434 Quang Thế Dương, 216242",Huyết áp cao,10.36,Hải Quang Đặng,16/02/2026
6de299a1-4a90-4d0c-a4c1-73b9b7f28572,Hạnh Phú Lê,473327138446,26/03/1968,0784234045,buijohn@example.org,"888 Hải Bảo Hoàng, 883618",Tiểu đường,9.84,Chị Thành Nguyễn,08/03/2026
a0d572c8-a837-4e68-bba2-05ca3dba6da8,Ông Huy Vũ,890315916977,25/08/1953,0832690973,johnmai@example.net,"7 Lâm Vũ, 311383",Khỏe mạnh,8.66,Quang Đặng,22/06/2026
4f612217-eef1-4694-90ca-e32d0aba590e,Quang Đặng,706800930017,23/06/1940,0399391655,john77@example.net,"15 Quý ông Tùng Vũ, 620306",Huyết áp cao,10.02,Quý cô Ánh Đặng,05/06/2026
14348f62-6cac-428c-ba22-006515260718,Lâm Đức Nguyễn,728858861629,23/06/1975,0306280202,buijane@example.net,"6 Phương Mai, 469685",Tiểu đường,10.83,Quý cô Ngọc Vũ,11/05/2026
83599af6-5d01-455f-a7fd-64c4a334058a,Bà Yến Bùi,857896497328,16/02/1995,0978679043,john81@example.org,"69 Mai Bùi, 900152",Tiểu đường,6.86,Nhật Vũ,13/04/2026
a6499cdc-507b-4072-a5e5-8f345df06e8c,Huy Đức Đặng,941403765967,08/01/1939,0314242791,hoangjohn@example.net,"47 Quang Hoàng Phạm, 574001",Huyết áp cao,9.96,Quý cô Thảo Bùi,10/05/2026
8ccc9cea-109f-48ee-b5a4-720058f0dd23,Quý cô Hạnh Hoàng,327694904066,10/03/1959,0504430445,gtran@example.com,"589 Anh Huy Trần, 851759",Tiểu đường,6.14,Ông Huy Trần,15/01/2026
a4704d48-5128-49b1-b8ed-e0ca20156a72,Quang Trần,935163319227,27/11/2005,0874424357,ypham@example.net,"80 Kim Bảo Mai, 336422",Huyết áp cao,11.64,Bà Kim Phạm,18/02/2026
8d03f17a-f4d3-45c1-a293-19fa3240d7a1,Dương Phạm,627617995877,06/02/2008,0869324461,nguyenjohn@example.net,"995 Quý ông Tùng Dương, 536822",Tiểu đường,10.21,An Dương,26/02/2026
7ba24588-4d56-4a3d-b4e7-069aa4540937,Tùng Văn Trần,006125591836,04/06/1945,0716424847,johntran@example.net,"92 Bác Trung Phạm, 639995",Khỏe mạnh,8.97,Nhiên Văn Trần,01/04/2026
3f779cae-7318-496d-8479-06121f5d988f,Bác Nhiên Bùi,656679880644,11/10/1987,0369063289,janele@example.org,"278 Quý cô Kim Mai, 512344",Tiểu đường,9.13,Trung Lê,10/03/2026
7eb162f1-4806-4804-8cf0-374c0c74dc0f,Thành Dương,179142427947,14/02/1950,0359898725,hoangjane@example.org,"06 Quý ông Tú Trần, 628750",Tim mạch,11.71,Cô Bảo Nguyễn,24/01/2026
64d6dfbf-18c0-4e2b-b99f-070420f0156a,Chị Thành Hoàng,727361447356,02/08/1962,0947412081,bhoang@example.org,"87 Châu Hoàng Đặng, 746447",Tiểu đường,5.92,Châu Hoàng,09/04/2026
7d66971e-8847-4c56-827c-9f8cd40ac5e9,An Bùi,903378507864,17/08/1985,0706030459,john43@example.com,"7 Tùng Quang Nguyễn JohnXã, 759580",Tiểu đường,6.21,Tùng Hoàng,22/04/2026
30d73df7-1c22-4cea-b355-56a5f2bd92f2,Quý ông Anh Hoàng,656928783281,27/06/1992,0870037063,johnvu@example.org,"0 Quý cô Vân Bùi, 281594",Tiểu đường,10.1,Chị Mai Hoàng,12/05/2026
ae455cc6-b88e-430f-9e1e-994ac5a11f5c,Quang Hoàng Lê,467110310319,29/08/1961,0851507158,janedang@example.com,"37 Ông Vũ Nguyễn, 701334",Tim mạch,5.54,Dương Mai,26/02/2026
b6d1f6bb-f48f-409c-89a2-24410ac4de85,Thành Xuân Phạm,602647309446,24/05/1970,0795089256,duongjane@example.com,"199 Cô Yến Vũ phố, 533377",Tim mạch,5.55,Quý ông Tùng Đặng,02/01/2026
edd97a1a-fa58-4b27-8ce3-e7c3f6eab3a0,Quý cô Khoa Hoàng,065038459467,22/06/2000,0744818086,john37@example.com,"9 Phương Phạm, 976822",Tim mạch,11.43,Quý cô Ánh Phạm,20/06/2026
9165f2ed-4c63-4e95-825f-55430997623a,Chi Vũ,419058223188,30/04/1997,0734438952,jane54@example.net,"27 Quý cô Hồng Phạm, 807160",Khỏe mạnh,6.62,Minh Hữu Nguyễn,10/06/2026
1634725b-53f3-4073-83e9-6ef46d7df5d0,Huy Phạm,919578566076,18/08/1954,0818329870,maijane@example.net,"45 Vũ Đặng, 347781",Tim mạch,7.3,Quang Thế Dương,01/04/2026
afa28559-67c9-4204-a8e3-33b64e8adc4b,Bà Yến Mai,252870012881,07/07/1985,0547236639,avu@example.org,"87 Hương Hoàng, 691573",Tiểu đường,8.64,Hải Lê,25/06/2026
89628f6e-929c-43b3-b3c0-8bf18167999f,Ánh Dương,417658380408,18/08/1995,0983140430,jane21@example.org,"728 Hạnh Lê, 122827",Tim mạch,10.09,Chị Chi Đặng,23/04/2026
58330b30-6c77-4e95-8b98-1ccd12b2102d,Phương Đức Đặng,839262077660,19/11/1944,0319464755,nle@example.com,"6 Phúc Đức Hoàng, 815894",Huyết áp cao,10.25,Chị Ánh Dương,15/04/2026
ba54e920-2099-4180-8762-3997649f7d88,Ông Bảo Trần,918638515514,06/02/1976,0996457583,johnle@example.org,"752 Kim Nguyễn JohnQuận, 316092",Khỏe mạnh,10.04,Quang Hoàng,07/01/2026
b40a9181-ac09-4db7-9908-6e477249f62c,Chị Nhật Bùi,954293297804,29/03/1990,0749080655,john89@example.net,"843 Hoàng Trí Dương, 646571",Huyết áp cao,4.88,Hạnh Thị Đặng,12/01/2026
e134edfc-9777-4f10-b2d2-393f8e85140d,Ông Phúc Vũ,352046716777,15/11/1941,0865868593,johnnguyen@example.net,"62 Hải Lê, 160423",Tim mạch,10.66,Chị Hà Lê,17/02/2026
a58e83dd-548c-4d84-b40d-e04941476506,Quang Vũ,551405942988,29/01/1948,0774038978,ibui@example.com,"398 Yến Đặng, 322096",Tiểu đường,9.35,Ông Nam Dương,27/06/2026
b42a2d93-9aba-4f15-b214-90623e1a963e,Phương Hữu Trần,238979020181,07/04/1979,0554145533,janepham@example.org,"87 Mai Nguyễn, 428122",Tiểu đường,5.77,Thành Thị Lê,04/01/2026
95831d58-ef4c-4119-8da5-d39b42c21797,Kim Hải Hoàng,961029836812,21/05/1980,0808916722,zhoang@example.org,"77 Huy Hải Phạm, 668471",Tiểu đường,4.27,Hà Nguyễn,12/06/2026
d1682e09-f1f7-4904-9307-5157d8c128e7,Trung Đức Hoàng,524079497259,15/08/1991,0965087685,mnguyen@example.com,"7 Phúc Đặng, 658065",Khỏe mạnh,6.61,Quý cô Lan Mai,21/05/2026
49646b96-fa3c-4628-8926-21df465568b7,Hạnh Trần,225997375897,22/11/1959,0373007550,wmai@example.net,"46 Anh Lê, 336828",Tim mạch,8.24,Thành Xuân Dương,19/01/2026
8d7dd772-608e-4f5c-a117-727067c0518b,Nhiên Hoàng Vũ,693594289179,30/09/1946,0895605731,janevu@example.org,"0 Phương Mai, 817675",Tim mạch,4.88,Cô Kim Hoàng,08/05/2026
d9b59f84-edc3-41c3-adea-2d2d086c405f,Anh Nhiên Dương,608572752811,12/02/1955,0506408935,pvu@example.com,"8 Bác Quang Đặng phố, 558320",Tim mạch,11.72,Quang Trí Đặng,30/05/2026
658e54a2-9879-4f35-b471-99869d264599,Chi Vũ,369698381708,07/04/2002,0939753671,john79@example.org,"943 Quý cô Thảo Lê, 508548",Khỏe mạnh,9.37,Hà Mai Dương,02/01/2026
5c238d8d-71da-45b9-8eea-9db8f165d779,Quý cô Chi Dương,687615972255,17/05/1947,0308246542,jane60@example.org,"015 Nam Phạm xã, 917018",Khỏe mạnh,5.13,Hưng Hoàng,25/06/2026
926bffa5-3e24-4fbf-ba69-8cd2fe2390f3,Quý ông Dũng Nguyễn,941611005310,04/02/1972,0300557886,phamjane@example.com,"47 Quý cô Lâm Mai, 212168",Huyết áp cao,5.97,Quý cô Nhật Đặng,06/03/2026
cdd7f460-6140-47d3-9ec4-ea48d773f98d,Quý ông Anh Đặng,488140193623,07/01/1954,0889553987,hoangjane@example.org,"47 Vi Vũ, 219420",Huyết áp cao,3.95,Chị Nhật Mai,06/01/2026
f166cdcf-762c-4fbc-ba2a-a7baf3f81c31,Hạnh Vũ,617677540195,26/11/1944,0512816231,jane70@example.net,"2 Phương Lê, 520274",Huyết áp cao,7.05,Lan Nguyễn,17/05/2026
98049562-8972-4bbd-8ff2-b1c4e53f9644,Quý ông Hoàng Mai,153994619113,23/10/1983,0577140994,jane55@example.org,"61 Bác Hưng Mai, 510133",Tim mạch,5.14,Bà Phương Hoàng,04/04/2026
eba900e1-6a7d-4d96-8ba1-72331ac3bf31,Châu Dương,748556214583,25/11/1982,0827947655,jane70@example.org,"775 Nhật Mai Bảo Phạm JanePhường, 214675",Huyết áp cao,7.56,Hải Hải Trần,18/04/2026
6d268b37-8f52-42d3-94bb-bcf828fea761,Chị An Vũ,240825593694,10/11/1960,0333580577,dle@example.com,"96 Phương Hữu Vũ, 206694",Tim mạch,9.37,Nhật Quang Nguyễn,30/03/2026
dcd5bfae-abb3-46a7-8329-97801d2c2721,Hưng Đức Hoàng,507411903642,01/12/1988,0835290360,hpham@example.org,"9 Nhật Quang Nguyễn phố, 291936",Tim mạch,4.16,Khoa Mai Bảo Hoàng,26/04/2026
6c4c450b-623a-40fc-9326-7d25234b4562,Trung Tấn Đặng,147908503952,26/01/1959,0899465316,vujane@example.com,"0 Chị Hà Đặng, 629990",Khỏe mạnh,4.62,Quang Phạm,18/05/2026
2ad11fe8-7d1b-495e-b1a0-449dd703262f,Ngọc Lê,011428096955,04/07/1965,0528798959,john11@example.net,"7 Chi Hoàng, 562806",Khỏe mạnh,3.77,Yến Hoàng,27/02/2026
7321a8b2-0840-405a-bfd2-f491dff389aa,Linh Hoàng,819588180551,02/04/1995,0984037790,janehoang@example.com,"9 Bà Mai Đặng, 467856",Tiểu đường,11.82,Mai Đặng,02/02/2026
4aea1b8f-b43c-4e0a-ba9f-c10e52daf681,Tùng Dương,430396715929,03/07/2005,0928568591,jane05@example.org,"Bác Phúc Đặng
672 Cô Khoa Vũ, 573947",Tiểu đường,7.29,Dũng Đặng,20/03/2026
b1d81887-4739-4c7b-bff3-0c8d83ff3e96,Nhiên Quang Vũ,811013981786,30/10/1935,0911388852,john43@example.com,"637 Mai Bùi, 993829",Huyết áp cao,7.02,Quý cô Lan Mai,20/01/2026
75a72686-d632-4d31-88ac-ffcfa04d4d14,Hải Trí Dương,197790441586,21/07/1995,0747675525,dpham@example.org,"Tú Thị Nguyễn
5 Vũ Mai, 796787",Huyết áp cao,10.72,Mai Đặng,21/05/2026
6de21429-3bf0-49c1-8156-e501b30e96e8,Bà Lâm Phạm,561999495672,23/08/1935,0713321685,dangjane@example.com,"051 Thành Mai phố, 866260",Tiểu đường,5.78,Mai Nguyễn,13/03/2026
61fa01ba-231a-47c7-8c9b-ff5ce1887eaf,Linh Đặng,357470364418,24/08/1936,0923269056,johnhoang@example.org,"97 Cô Hải Trần JaneHuyện, 550246",Huyết áp cao,8.19,Hoàng Dương,06/05/2026
99db1302-8dab-46d3-bf87-dfc2159152f2,Lâm Trí Bùi,334003505465,15/06/1963,0534424370,duongjane@example.net,"61 An Hải Mai, 505629",Huyết áp cao,3.64,Quý cô Lan Nguyễn,30/05/2026
1149d096-965d-444f-8445-c1a812af97e4,Bác Trọng Dương,766974117355,29/11/1940,0310467546,john31@example.com,"61 Huy Văn Bùi, 313068",Huyết áp cao,4.69,Phương Bảo Vũ,04/05/2026
ae59aa52-a65b-422b-95a3-86d9c362a810,Hạnh Đặng,619182080321,21/12/1967,0710479580,nguyenjohn@example.org,"21 Chị Hương Bùi, 642347",Khỏe mạnh,9.1,Anh Nam Hoàng,25/01/2026
44cdbfdd-df9b-441e-87f7-bda1bff15840,Vũ Phạm,443433415219,03/12/1993,0868950044,janehoang@example.com,"5 Trọng Nguyễn, 910894",Tim mạch,10.43,Quang Văn Nguyễn,14/02/2026
0b461173-00a8-4473-8242-5912bda3c162,Thành Đặng,827884170217,13/09/1999,0349702877,jane52@example.org,"536 Anh Minh Trần, 806033",Tiểu đường,7.75,Hưng Hoàng Mai,06/06/2026
f43e8c48-0bc1-49e5-bb3d-f0638409c5ea,Bảo Hữu Đặng,884416056693,11/10/1977,0992749160,jane76@example.net,"4 Bảo Dương, 673108",Huyết áp cao,9.89,Hồng Mai,05/01/2026
a2cd1590-58af-493c-8aa2-b4c93ba5bd76,Quý ông Dũng Hoàng,137482299211,14/09/1986,0909177259,john38@example.net,"410 Hưng Dương, 200219",Khỏe mạnh,11.74,Anh Quang Nguyễn,21/04/2026
f6d70248-a995-4cc3-af5b-09a60ff1c51f,Hải Đức Hoàng,887180588619,14/05/1978,0900019992,tvu@example.com,"291 Chị Yến Bùi, 526259",Khỏe mạnh,9.55,Quang Tấn Phạm,30/05/2026
769de1e3-4eed-4124-b3b0-d6763527a5c8,Phương Lê,067930590914,11/12/1956,0777830804,johndang@example.net,"68 Hà Phạm, 682959",Tiểu đường,3.72,Hoàng Tấn Phạm,06/06/2026
030f9be9-1f17-4f93-a3c9-7a1ecb371d97,Bà Hà Bùi,118243269713,13/04/1953,0867795405,john20@example.com,"9 Huy Thế Vũ, 196446",Tim mạch,5.78,Khoa Hoàng Nguyễn,10/01/2026
6ee35607-92ea-4324-ac93-e5962b015723,Châu Trần,896100907493,24/07/1993,0935828054,johnhoang@example.com,"099 Bà Hải Nguyễn, 191982",Khỏe mạnh,6.32,Bà Hồng Trần,23/03/2026
cc152a1b-e278-4642-a484-e035330faaa3,Cô Ánh Vũ,689970887126,11/10/2000,0779992364,buijohn@example.net,"059 Hạnh Lê, 344068",Tim mạch,6.7,Kim Phạm,21/02/2026
ead18464-ca8e-458c-90f8-1063889fe107,Quý ông Huy Hoàng,054203245949,10/05/1988,0550130928,kle@example.com,"0 Phúc Mai Bảo Dương JaneQuận, 614259",Huyết áp cao,9.58,Hà Phú Trần,15/02/2026
86c5547c-051a-4039-b803-dcee9a069295,Thành Trí Lê,372042605199,29/11/1962,0923341494,john79@example.com,"2 Nhiên Mai, 205939",Tiểu đường,8.29,Anh Thành Phạm,31/01/2026
cab63107-6fd6-4b3a-b2dd-9456bb7b6c05,Chị Nhật Dương,718089139923,21/01/1984,0957738855,buijohn@example.net,"209 Kim Đặng, 693022",Tim mạch,11.98,Dương Nguyễn,06/03/2026
